del_mu,del_e,k_spo,k_cat,Dpe,Dse,v_rat,phiE1low,phiE1hi,phiE2low,phiE2hi
8,-5,1,0.5,4,1,20,0,1,0,1
8,-5,1,0.55,4,1,20,0,1,0,1
8,-5,1,0.6,4,1,20,0,1,0,1
8,-5,1,0.65,4,1,20,0,1,0,1
8,-5,1,0.7,4,1,20,0,1,0,1
8,-5,1,0.75,4,1,20,0,1,0,1
8,-5,1,0.8,4,1,20,0.127427292,0.127427387,0.055116517,0.055116586
8,-5,1,0.85,4,1,20,0.16812191,0.168122005,0.032892039,0.0328921
8,-5,1,0.9,4,1,20,0.194495487,0.194495583,0.022568939,0.022569
8,-5,1,0.95,4,1,20,0.214748096,0.214748192,0.0163468,0.016346853
8,-5,1,1,4,1,20,0.231196976,0.231197071,0.01222655,0.01222663
8,-5,1,1.05,4,1,20,0.244955158,0.244955254,0.009351724,0.009351787
8,-5,1,1.1,4,1,20,0.256678677,0.256678772,0.007275588,0.00727565
8,-5,1,1.15,4,1,20,0.266798973,0.266799068,0.005738179,0.005738265
8,-5,1,1.2,4,1,20,0.275620747,0.275620842,0.004577584,0.00457765
8,-5,1,1.25,4,1,20,0.283368969,0.283369064,0.003687696,0.00368775
8,-5,1,1.3,4,1,20,0.290215969,0.290216064,0.002996305,0.0029964
8,-5,1,1.35,4,1,20,0.296296883,0.296296978,0.002453267,0.00245335
8,-5,1,1.4,4,1,20,0.301719856,0.301719952,0.002022558,0.00202265
8,-5,1,1.45,4,1,20,0.306573009,0.306573105,0.001678022,0.001678086
8,-5,1,1.5,4,1,20,0.310929108,0.310929203,0.00140022,0.0014003
8,-5,1,1.55,4,1,20,0.314848614,0.314848709,0.001174654,0.001174752
8,-5,1,1.6,4,1,20,0.31838274,0.318382835,0.000990481,0.00099055
8,-5,1,1.65,4,1,20,0.321574783,0.321574879,0.000838982,0.000839066
8,-5,1,1.7,4,1,20,0.324462032,0.324462128,0.000713864,0.00071395
8,-5,1,1.75,4,1,20,0.32707634,0.327076435,0.000609931,0.000610016
8,-5,1,1.8,4,1,20,0.329445648,0.329445744,0.000523187,0.000523269
8,-5,1,1.85,4,1,20,0.331594181,0.331594276,0.000450474,0.00045055
8,-5,1,1.9,4,1,20,0.333543015,0.33354311,0.000389237,0.0003893
8,-5,1,1.95,4,1,20,0.335310841,0.335310936,0.000337501,0.0003376